locus_tag	ftype	length_bp	gene	EC_number	COG	product
HF920633.1_00153	CDS	1254				hypothetical protein
HF920633.1_00154	CDS	216				hypothetical protein
HF920633.1_00155	CDS	1407				hypothetical protein
HF920633.1_00156	CDS	894		2.1.1.45		Thymidylate synthase
HF920633.1_00157	CDS	891				hypothetical protein
HF920633.1_00158	CDS	573				hypothetical protein
HF920633.1_00159	CDS	384				hypothetical protein
HF920633.1_00160	CDS	420				hypothetical protein
HF920633.1_00161	CDS	627				hypothetical protein
HF920633.1_00162	CDS	393				hypothetical protein
HF920633.1_00163	CDS	564				hypothetical protein
HF920633.1_00164	CDS	525				hypothetical protein
HF920633.1_00165	CDS	2430				hypothetical protein
HF920633.1_00166	CDS	243				hypothetical protein
HF920633.1_00167	CDS	420				hypothetical protein
HF920633.1_00168	CDS	216				hypothetical protein
HF920633.1_00169	CDS	1830		6.5.1.2		DNA ligase
HF920633.1_00170	CDS	1071				hypothetical protein
HF920633.1_00171	CDS	1281				hypothetical protein
HF920633.1_00172	CDS	1149				hypothetical protein
HF920633.1_00173	CDS	231				hypothetical protein
HF920633.1_00174	CDS	1980				hypothetical protein
HF920633.1_00175	CDS	3372	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
HF920633.1_00176	CDS	735				hypothetical protein
HF920633.1_00177	CDS	1467				hypothetical protein
HF920633.1_00178	CDS	297				hypothetical protein
